;;;;Average annual use of water in HKScan contract farms (m3);;;;;
Farm code;Production type;Number of animals;Use of water;Drinking water;Wash etc;;;;
1;broiler;455000;3035,5;2825,5;210;;;;
2;broiler;433000;2801,5;2611,5;190;;;;
3;broiler;495000;3200;3000;200;;;;
4;broiler;450000;2998;2788;210;;;;
5;broiler;452000;3010;2840;170;;;;
6;broiler;470000;3244;3044;200;;;;
7;broiler;425000;2800;2610;190;;;;
8;broiler;420000;2750;2540;210;;;;
9;broiler;456000;3100;2900;200;;;;
10;broiler;455000;2900;2670;230;;;;
;;;;;;;;;
11;beef*;800;18000;18000;;;;;
12;beef*;180;1800;1800;;;;;
13;beef*;520;3500;3500;;;;;
14;beef*;340;3700;3700;;;;;
;;;;;;;;;
15;pork**;3800;2550;;;;;;
16;pork**;2900;2150;;;;;;
17;pork**;3900;2710;;;;;;
18;pork**;4100;2900;;;;;;
19;pork**;3600;2470;;;;;;
;;;;;;;;;
;*bulls 250kg=>800 kg;;;;;;;;
;**pigs 30 kg =>98 kg;;;;;;;;
